school_name,publish_date,last_update_date,address,website,google_map,roll_number,local_name_of_school,school_Level,school_Level_Detail,principal_name,ethos,gender,language_of_Instruction,DEIS_indicator,transition_year_indicator,enrolment_total,enrolment_boys,enrolment_girls,free_education_indicator,fee_charging_indicator,day_boarding,inspection_reports
S N GREACH RATHAIN,2021-07-07,2024-01-22,"STAGHALL BELTURBET , CAVAN , CAVAN , H14CH74",http://www.greaghrahanschool.ie,"https://maps.google.com/?q=54.098076,-7.5336337",18346M,S N GREACH RATHAIN,PRIMARY,ORDINARY,ANNA MARIE MAGUIRE,CATHOLIC,MIXED,ENGLISH,NO,NA,50,25,25,NA,NO,NA,
S N IDE,2021-07-07,2024-01-22,"KILMEAD ATHY CO. KILDARE , KILDARE , KILDARE , R14EV65",http://www.kilmeadns.ie,"https://maps.google.com/?q=53.033867,-6.901692",17650K,KILMEAD NATIONAL SCHOOL,PRIMARY,ORDINARY,ROBERT WHITE,CATHOLIC,MIXED,ENGLISH,YES,NA,163,95,68,NA,NO,NA,
S N IDE NAOFA,2021-07-07,2024-01-22,"CROSS STREET LOUGHREA CO. GALWAY , GALWAY , GALWAY , H62EE06",http://www.stitasloughrea.com,"https://maps.google.com/?q=53.19723,-8.564535",16762Q,ST ITA'S LOUGHREA,PRIMARY,ORDINARY,PATRICK COYLE,CATHOLIC,MIXED,ENGLISH,NO,NA,355,70,285,NA,NO,NA,
SN INBHEAR,2021-07-07,2024-01-22,"INVER BARNATRA BALLINA CO. MAYO , MAYO , MAYO , F26A316",http://www.inver.org,"https://maps.google.com/?q=54.251198,-9.8649435",12568A,INVER NATIONAL SCHOOL,PRIMARY,ORDINARY,DIANE COSGROVE,CATHOLIC,MIXED,ENGLISH,YES,NA,65,31,34,NA,NO,NA,
S N INIS,2021-07-07,2024-01-22,"BALLYMAKIBBOT INCH KILLEAGH CO. CORK , CORK , CORK , P36YW81",http://www.inchnationalschool.ie,"https://maps.google.com/?q=51.985924,-7.99133",18567F,INCH NATIONAL SCHOOL,PRIMARY,ORDINARY,KATHLEEN WALSH,CATHOLIC,MIXED,ENGLISH,NO,NA,218,106,112,NA,NO,NA,
S N INIS CEALTRACH,2021-07-07,2024-01-22,"MOUNTSHANNON CO. CLARE , CLARE , CLARE , V94YP68",http://mountshannonschool.net,"https://maps.google.com/?q=52.932823,-8.44159",18109V,INISCEALTRA NATIONAL SCHOOL,PRIMARY,ORDINARY,JOE O RIORDAN,CATHOLIC,MIXED,ENGLISH,NO,NA,63,43,20,NA,NO,NA,
S N INIS EOGHANAIN,2021-07-07,2024-01-22,"SCOIL EOIN INIS EONÁIN CO.CHORCAÍ , CORK , CORK , T12PX94",http://www.innishannonschool.com,"https://maps.google.com/?q=51.76734,-8.656826",17168J,"SCOIL EOIN, INIS EONÁIN",PRIMARY,ORDINARY,CAROL NÍ CHUIMÍN,CATHOLIC,MIXED,ENGLISH,NO,NA,306,142,164,NA,NO,NA,
S N INIS MEADHOIN,2021-07-07,2024-01-22,"INIS MEÁIN OILEANN ÁRAINN CO. NA GAILLIMHE , GALWAY , GALWAY , H91P892",,"https://maps.google.com/?q=53.086933,-9.58867",12339I,SCOIL NAISIÚNTA INIS MEÁIN,PRIMARY,ORDINARY,EOIN Ó FÁTHARTA,CATHOLIC,MIXED,ALL IRISH,YES,NA,17,9,8,NA,NO,NA,
S N IOGNAID,2021-07-07,2024-01-22,"BÓITHRÍN NA SLIOGÁN GAILLIMH , GALWAY , GALWAY , H91E364",http://scoiliognaid.ie,"https://maps.google.com/?q=53.27052,-9.062462",19371Q,SCOIL IOGNÁID,PRIMARY,ORDINARY,LOUISE BREATHNACH,CATHOLIC,MIXED,ALL IRISH,NO,NA,502,274,228,NA,NO,NA,
S N IOMAIR NAOFA,2021-07-07,2024-01-22,"BRACKLOON KILTULLAGH ATHENRY CO. GALWAY , GALWAY , GALWAY , H65C670",,"https://maps.google.com/?q=53.283062,-8.586119",17529P,BRACKLOON NATIONAL SCHOOL,PRIMARY,ORDINARY,DANNY O'CONNOR,CATHOLIC,MIXED,ENGLISH,NO,NA,28,13,15,NA,NO,NA,
S N IOSAGAIN,2021-07-07,2024-01-22,"SPA GLEN MALLOW CO. CORK , CORK , CORK , P51TD36",http://www.scoiliosagainmallow.ie,"https://maps.google.com/?q=52.143665,-8.642265",18883P,SCOIL IOSAGAIN INFANT SCHOOL,PRIMARY,ORDINARY,BRID HEALY,CATHOLIC,MIXED,ENGLISH,NO,NA,145,91,54,NA,NO,NA,
S N IOSEF NAOFA,2021-07-07,2024-01-22,"MARDYKE WALK CORK , CORK , CORK , T12YY07",http://www.st-josephs-ns.org,"https://maps.google.com/?q=51.89695,-8.487316",16339F,ST. JOSEPH'S NS,PRIMARY,ORDINARY,ROSEANNE NEVILLE,CATHOLIC,BOYS,ENGLISH,NO,NA,222,222,0,NA,NO,NA,
S N IOSEF NAOFA,2021-07-07,2024-01-22,"TEMPLEMORE CO. TIPPERARY , TIPPERARY , TIPPERARY , E41W132",http://stjoephstemplemore.ie,"https://maps.google.com/?q=52.79748,-7.827729",17731K,ST JOSEPH'S TEMPLEMORE,PRIMARY,ORDINARY,ELAINE FOLEY,CATHOLIC,MIXED,ENGLISH,YES,NA,179,34,145,NA,NO,NA,
S N IOSEF NAOFA,2021-07-07,2024-01-22,"MAIGH MÓR AN LEACHT CO. AN CHLÁIR , CLARE , CLARE , V95NW99",http://gaelscoilmagh.ie,"https://maps.google.com/?q=52.90144,-9.331961",18339P,GAELSCOIL MÁGH,PRIMARY,ORDINARY,EIBHLÍS MHIC GEARAILT,CATHOLIC,MIXED,ALL IRISH,NO,NA,31,14,17,NA,NO,NA,
S N IOSEF NAOFA,2021-07-07,2024-01-22,"CORVILLE ROSCREA CO. TIPPERARY , TIPPERARY , TIPPERARY , E53Y449",http://www.corvillens.com,"https://maps.google.com/?q=52.938866,-7.7843494",18345K,CORVILLE NATIONAL SCHOOL,PRIMARY,ORDINARY,JOHN SLATTERY,CATHOLIC,MIXED,ENGLISH,YES,NA,313,162,151,NA,NO,NA,
S N IOSEF NAOFA,2021-07-07,2024-01-22,"AGLISH ROSCREA CO. TIPPERARY , TIPPERARY , TIPPERARY , E53RK65",,"https://maps.google.com/?q=53.040577,-8.085824",18443K,AGLISH NATIONAL SCHOOL,PRIMARY,ORDINARY,SHEELAGH GRACE,CATHOLIC,MIXED,ENGLISH,NO,NA,25,13,12,NA,NO,NA,
S N IOSEPH,2021-07-07,2024-01-22,"DERRYCLOGH LOWER DRINAGH CO. CORK , CORK , CORK , P47YY30",http://derrycloughns.weebly.com,"https://maps.google.com/?q=51.63341,-9.205339",11931L,DERRYCLOUGH N.S.,PRIMARY,ORDINARY,MELISSA O' DRISCOLL,CATHOLIC,MIXED,ENGLISH,NO,NA,9,5,4,NA,NO,NA,
S N LAINN CILLE,2021-07-07,2024-01-22,"CATHAIR NA MART CO MAYO , MAYO , MAYO , F28V127",http://www.lankillns.ie,"https://maps.google.com/?q=53.75669,-9.511186",16904K,LANKILL NS,PRIMARY,ORDINARY,CIARÁN HYNES,CATHOLIC,MIXED,ENGLISH,YES,NA,65,35,30,NA,NO,NA,
S N LASAIR NAOFA,2021-07-07,2024-01-22,"GREAGHNAFARNA ARIGNA CARRICK ON SHANNON CO. ROSCOMMON , ROSCOMMON , ROSCOMMON , N41FX64",,"https://maps.google.com/?q=54.092827,-8.115385",17622F,GREAGHNAFARNA NATIONAL SCHOOL,PRIMARY,ORDINARY,MICHELLE DOYLE,CATHOLIC,MIXED,ENGLISH,YES,NA,19,11,8,NA,NO,NA,
S N LATHRACH,2021-07-07,2024-01-22,"LARAGH STRADONE CO. CAVAN , CAVAN , CAVAN , H12P924",http://www.stbrigidsnslaragh.ie,"https://maps.google.com/?q=53.993225,-7.2158484",18833A,ST. BRIGID'S NATIONAL SCHOOL,PRIMARY,ORDINARY,MIRIAM HEGARTY,CATHOLIC,MIXED,ENGLISH,NO,NA,125,65,60,NA,NO,NA,
S N LATHRACH 2,2021-07-07,2024-01-22,"MUFF KINGSCOURT CO CAVAN , CAVAN , CAVAN , A82XD80",http://www.laraghmuffns.com,"https://maps.google.com/?q=53.902893,-6.8617463",14211P,LARAGH MUFF NATIONAL SCHOOL,PRIMARY,ORDINARY,MICHAEL BUCKLEY,CATHOLIC,MIXED,ENGLISH,NO,NA,140,58,82,NA,NO,NA,
S N LEAMHACH,2021-07-07,2024-01-22,"LEUGH THURLES CO. TIPPERARY , TIPPERARY , TIPPERARY , E41NF72",http://www.leughnationalschool.ie,"https://maps.google.com/?q=52.70767,-7.843692",18213Q,LEUGH NATIONAL SCHOOL,PRIMARY,ORDINARY,LOUISE CORBET,CATHOLIC,MIXED,ENGLISH,NO,NA,131,74,57,NA,NO,NA,
S N LEATH ARDAN,2021-07-07,2024-01-22,"BEAL ATHA NA FHEADHA CO MAYO , MAYO , MAYO , F26XV34",,"https://maps.google.com/?q=54.031704,-9.318503",16911H,S N LEATH ARDAN,PRIMARY,ORDINARY,MARTINA CONLON,CATHOLIC,MIXED,ENGLISH,NO,NA,75,37,38,NA,NO,NA,
S N LEITIR,2021-07-07,2024-01-22,"LEITER BAILIEBOROUGH CO. CAVAN , CAVAN , CAVAN , A82CX30",http://www.thevalens.com,"https://maps.google.com/?q=53.927525,-7.01148",18564W,ST. FELIM'S NS,PRIMARY,ORDINARY,EILÍS KEEGAN,CATHOLIC,MIXED,ENGLISH,NO,NA,208,104,104,NA,NO,NA,
S N LEITIRGEIS,2021-07-07,2024-01-22,"LETTERGESH WEST RENVYLE CO. GALWAY , GALWAY , GALWAY , H91K2H9",http://www.lettergeshns.ie,"https://maps.google.com/?q=53.598583,-9.912783",09833W,LETTERGESH NATIONAL SCHOOL,PRIMARY,ORDINARY,SIOBHAN HYLAND,CATHOLIC,MIXED,ENGLISH,YES,NA,28,15,13,NA,NO,NA,
S N LEITIR MEALLAIN,2021-07-07,2024-01-22,"LEITIR MEALLAIN CO NA GAILLIMHE , GALWAY , GALWAY , H91RX45",,"https://maps.google.com/?q=53.24232,-9.732277",20345W,S N LEITIR MEALLAIN,PRIMARY,ORDINARY,BRID NI LIATHAIN,CATHOLIC,MIXED,ALL IRISH,YES,NA,28,11,17,NA,NO,NA,
S N LEITIR MHIC AN BHAIRD,2021-07-07,2024-01-22,"LEITIR MHIC A' BHAIRD LETTERMACAWARD CO. DHÚN NA NGALL , DONEGAL , DONEGAL , F94R962",,"https://maps.google.com/?q=54.857338,-8.302907",15847T,"SCOIL BHRÍDE, LEITIR",PRIMARY,ORDINARY,CIARAN MC DEVITT,CATHOLIC,MIXED,ENGLISH,YES,NA,21,5,16,NA,NO,NA,
S N LIOS A CUILL M,2021-07-07,2024-01-22,"CORRACOGGIL NORTH LISACUL CASTLEREA CO. ROSCOMMON , ROSCOMMON , ROSCOMMON , F45CX86",,"https://maps.google.com/?q=53.85399,-8.630978",13047A,LISACUL NATIONAL SCHOOL,PRIMARY,ORDINARY,ANGELA KERRANE,CATHOLIC,MIXED,ENGLISH,YES,NA,88,51,37,NA,NO,NA,
S N LIOS AN HALLA,2021-07-07,2024-01-22,"LISSENHALL NENAGH CO. TIPPERARY , TIPPERARY , TIPPERARY , E45CK68",http://www.liosanhalla.scoilnet.ie,"https://maps.google.com/?q=52.831062,-8.238321",18465U,LISSENHALL NATIONAL SCHOOL,PRIMARY,ORDINARY,EAMONN RIALL,CATHOLIC,MIXED,ENGLISH,NO,NA,136,76,60,NA,NO,NA,
S N LIOSCEANUIR,2021-07-07,2024-01-22,"LISCANNOR CO. CLARE , CLARE , CLARE , V95WV32",,"https://maps.google.com/?q=52.9357,-9.395133",18410S,LISCANNOR NATIONAL SCHOOL,PRIMARY,ORDINARY,MÁIRE O'CONNELL,CATHOLIC,MIXED,ENGLISH,NO,NA,90,35,55,NA,NO,NA,
S N LIOS MOR MOCHUDA,2021-07-07,2024-01-22,"NORTH MALL LISMORE CO. WATERFORD , WATERFORD , WATERFORD , P51VW44",http://www.liosmormochudans.ie,"https://maps.google.com/?q=52.13976,-7.9301143",14164J,LISMORE NATIONAL SCHOOL,PRIMARY,ORDINARY,CIARA MCGRATH,CHURCH OF IRELAND,MIXED,ENGLISH,NO,NA,21,11,10,NA,NO,NA,
S N LIOS NA GROI,2021-07-07,2024-01-22,"LISNAGRY CO. LIMERICK , LIMERICK , LIMERICK , V94K599",http://www.lisnagryns.ie,"https://maps.google.com/?q=52.680187,-8.512487",18516L,LISNAGRY NATIONAL SCHOOL,PRIMARY,ORDINARY,MICHAEL FEENEY,CATHOLIC,MIXED,ENGLISH,NO,NA,331,198,133,NA,NO,NA,
S N LIOS TEILIC,2021-07-07,2024-01-22,"LISTELLICK TRALEE CO. KERRY , KERRY , KERRY , V92AE92",http://www.listellickprimary.com,"https://maps.google.com/?q=52.298225,-9.694385",09260B,LISTELLICK PRIMARY SCHOOL,PRIMARY,ORDINARY,ANNETTE DINEEN,CATHOLIC,MIXED,ENGLISH,NO,NA,210,116,94,NA,NO,NA,
S N LISNAFUNCHIN,2021-07-07,2024-01-22,"CASTLECOMER CO. KILKENNY , KILKENNY , KILKENNY , R95TKD2",http://lisnafunchin.scoilnet.ie,"https://maps.google.com/?q=52.760124,-7.240938",16230G,LISNAFUNCHIN NATIONAL SCHOOL,PRIMARY,ORDINARY,SHANE CAMPION,CATHOLIC,MIXED,ENGLISH,NO,NA,34,10,24,NA,NO,NA,
S N LISSARA NAOFA,2021-07-07,2024-01-22,"BALLINACARROW BALLYMOTE CO. SLIGO , SLIGO , SLIGO , F56PN59",http://www.ballinacarrowns.ie,"https://maps.google.com/?q=54.13338,-8.562406",17774F,ST LASSARA'S NATIONAL SCHOOL,PRIMARY,ORDINARY,AODÁN BRENNAN,CATHOLIC,MIXED,ENGLISH,NO,NA,65,32,33,NA,NO,NA,
S N LOCH AN IUBHAIR,2021-07-07,2024-01-22,"LOCH AN IÚIR ANAGAIRE LEITIR CEANAINN , DONEGAL , DONEGAL , F94X850",http://www.scoillochaniuir.ie,"https://maps.google.com/?q=55.002953,-8.292914",16829W,SCOIL EOIN PÓL,PRIMARY,ORDINARY,MAIREAD NIC SUIBHNE,CATHOLIC,MIXED,ALL IRISH,YES,NA,20,12,8,NA,NO,NA,
S N LOCH GUIR,2021-07-07,2024-01-22,"PATRICKSWELL BRUFF CO. LIMERICK , LIMERICK , LIMERICK , V35XE27",,"https://maps.google.com/?q=52.505272,-8.507646",07117J,LOUGH GUR NATIONAL SCHOOL,PRIMARY,ORDINARY,DENIS KENNEDY,CATHOLIC,MIXED,ENGLISH,YES,NA,19,9,10,NA,NO,NA,
S N LOMCHLUANA,2021-07-07,2024-01-22,"LUMCLOON CLOGHAN BIRR CO. OFFALY , OFFALY , OFFALY , R42Y744",http://www.lumcloon.net,"https://maps.google.com/?q=53.219833,-7.797196",18777Q,LUMCLOON NS,PRIMARY,ORDINARY,GREG GILLIGAN,CATHOLIC,MIXED,ENGLISH,NO,NA,32,19,13,NA,NO,NA,
S N LORCAIN NAOFA,2021-07-07,2024-01-22,"TYNAGH LOUGHREA CO. GALWAY , GALWAY , GALWAY , H62AW74",http://www.tynaghns.ie,"https://maps.google.com/?q=53.138767,-8.366727",17490O,TYNAGH NATIONAL SCHOOL,PRIMARY,ORDINARY,LAURA CLARKE,CATHOLIC,MIXED,ENGLISH,NO,NA,40,19,21,NA,NO,NA,
SN MHAOLCHEADAIR,2021-07-07,2024-01-22,"AN CHARRAIG BAILE NA NGALL CO. CHIARRAÍ , KERRY , KERRY , V92A313",,"https://maps.google.com/?q=52.18616,-10.357893",06227L,SCOIL MHAOLCHÉADAIR,PRIMARY,ORDINARY,DEIRDRE ÁGHAS,CATHOLIC,MIXED,ALL IRISH,NO,NA,34,16,18,NA,NO,NA,
S N MHARCUIS B,2021-07-07,2024-01-22,"THE GLEN CORK , CORK , CORK , T23P5FY",,"https://maps.google.com/?q=51.91123,-8.457712",19426P,GLEN BOYS,PRIMARY,ORDINARY,JOHANNA CARROLL,CATHOLIC,BOYS,ENGLISH,YES,NA,98,98,0,NA,NO,NA,
SN MHIC DARA,2021-07-07,2024-03-07,"AN CEATHRÚ RUA CO. NA GAILLIMHE , GALWAY , GALWAY , H91T4C2",http://www.scoilmhicdara.ie,"https://maps.google.com/?q=53.264427,-9.597204",19932H,SCOIL MHIC DARA,PRIMARY,ORDINARY,KATHERINE NÍ CHEALLAIGH,CATHOLIC,MIXED,ALL IRISH,YES,NA,224,112,112,NA,NO,NA,
S N MHIC DIARMADA,2021-07-07,2024-01-22,"BÓTHAR GHLEANN FEARNA COILLTE CLOCHAIR CO. LIATROMA , LEITRIM , LEITRIM , F91NF72",,"https://maps.google.com/?q=54.355743,-8.036142",18589P,SCOIL MHIC DIARMADA,PRIMARY,ORDINARY,GERALDINE CULLEN,CATHOLIC,MIXED,ENGLISH,YES,NA,16,12,4,NA,NO,NA,
S N MHICHIL NAOFA,2021-07-07,2024-01-22,"GALMOY PAROCHIAL SCHOOL MONEYNAMUCK STOPFORD GALMOY (VIA THURLES) , KILKENNY , KILKENNY , E41TD34",http://www.smngalmoy.ie,"https://maps.google.com/?q=52.792175,-7.5708814",17222M,GALMOY NATIONAL SCHOOL,PRIMARY,ORDINARY,THOMAS PERCY,CATHOLIC,MIXED,ENGLISH,NO,NA,69,39,30,NA,NO,NA,
S N MHICHIL NAOFA,2021-07-07,2024-01-22,"CILL RATH MOLLADHAIN CO NA MI , MEATH , MEATH , A83WV07",,"https://maps.google.com/?q=53.485558,-6.826509",18453N,SN CILL,PRIMARY,ORDINARY,MAIREAD FEELY,CATHOLIC,MIXED,ENGLISH,NO,NA,76,49,27,NA,NO,NA,
S N MHIN TEINEADH DE,2021-07-07,2024-01-22,"MÍN TINE DÉ ARD AN RÁTHA CO. DHÚN NA NGALL , DONEGAL , DONEGAL , F94Y886",,"https://maps.google.com/?q=54.741745,-8.360099",17035N,SCOIL NÁISIÚNTA MHÍN TINE DÉ,PRIMARY,ORDINARY,ÁINE NIC GIOLLA BHRÍDE,CATHOLIC,MIXED,ALL IRISH,NO,NA,19,13,6,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"BAUROE FEAKLE CO. CLARE , CLARE , CLARE , V94R8Y1",,"https://maps.google.com/?q=52.92417,-8.649257",02439G,FEAKLE NS,PRIMARY,ORDINARY,MARION MAHON,CATHOLIC,MIXED,ENGLISH,NO,NA,70,37,33,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"BAWN ROAD SWANLIBAR CO. CAVAN , CAVAN , CAVAN , H14KX84",,"https://maps.google.com/?q=54.190884,-7.7057333",08143P,SCOIL MHUIRE NS,PRIMARY,ORDINARY,CIARA MURPHY,CATHOLIC,MIXED,ENGLISH,YES,NA,63,27,36,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"TURLACH BEAG ROSMUC CO. NA GAILLIMHE , GALWAY , GALWAY , H91YT26",,"https://maps.google.com/?q=53.34776,-9.619428",11373D,SCOIL NÁISIÚNTA MHUIRE,PRIMARY,ORDINARY,KATHY CONNEELY,CATHOLIC,MIXED,ALL IRISH,YES,NA,38,13,25,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"DANESCASTLE CARRIG-ON-BANNOW CO. WEXFORD , WEXFORD , WEXFORD , Y35A029",http://danescastle.scoilnet.ie/blog,"https://maps.google.com/?q=52.239388,-6.732147",14254K,DANESCASTLE NATIONAL SCHOOL,PRIMARY,ORDINARY,ÁINE KENNEDY,CATHOLIC,MIXED,ENGLISH,YES,NA,142,75,67,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"FIDDAUN ARDRAHAN CO. GALWAY , GALWAY , GALWAY , H91D263",http://www.ballyglassns.com,"https://maps.google.com/?q=53.16905,-8.757707",14642T,BALLYGLASS NS,PRIMARY,ORDINARY,NICOLA LOUGHREY-LYNSKEY,CATHOLIC,MIXED,ENGLISH,NO,NA,75,31,44,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"CASTLEGAL CLIFFONEY CO. SLIGO , SLIGO , SLIGO , F91DA00",,"https://maps.google.com/?q=54.455322,-8.397034",15337T,CASTLEGAL NATIONAL SCHOOL,PRIMARY,ORDINARY,ROISIN O'GRADY,CATHOLIC,MIXED,ENGLISH,NO,NA,29,12,17,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"MA NEALTA CEANNANUS MOR CO NA MIDHE , MEATH , MEATH , A82YV20",http://www.moynaltyns.ie,"https://maps.google.com/?q=53.791874,-6.8912582",17213L,SCOIL MHUIRE,PRIMARY,ORDINARY,DENISE WARD,CATHOLIC,MIXED,ENGLISH,NO,NA,137,77,60,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"RATHPEACON MALLOW ROAD CORK , CORK , CORK , T23F799",http://www.rathpeaconns.com,"https://maps.google.com/?q=51.936844,-8.498919",17360B,RATHPEACON NATIONAL SCHOOL,PRIMARY,ORDINARY,SUSANNA FARRELL O'NEILL,CATHOLIC,MIXED,ENGLISH,NO,NA,344,172,172,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"ROBINSTOWN NAVAN CO MEATH , MEATH , MEATH , C15YK66",http://www.robinstownns.com,"https://maps.google.com/?q=53.59367,-6.7285547",17520U,ROBINSTOWN N S,PRIMARY,ORDINARY,SHANE FOLEY,CATHOLIC,MIXED,ENGLISH,NO,NA,166,95,71,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"THE GREEN GARRISTOWN CO. DUBLIN , DUBLIN , DUBLIN COUNTY , A42V673",http://www.garristownns.ie,"https://maps.google.com/?q=53.56278,-6.3850613",17559B,GARRISTOWN NATIONAL SCHOOL,PRIMARY,ORDINARY,MR PÁDRAIG DURKAN,CATHOLIC,MIXED,ENGLISH,NO,NA,192,100,92,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"BILLERAGH ARAGLIN CO. CORK , CORK , CORK , P61KF82",,"https://maps.google.com/?q=52.20427,-8.167496",17761T,ARAGLIN NATIONAL SCHOOL,PRIMARY,ORDINARY,CORINNA AHERN,CATHOLIC,MIXED,ENGLISH,NO,NA,75,40,35,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"GRAHORMACK TAGOAT CO. WEXFORD , WEXFORD , WEXFORD , Y35DE08",http://tagoatns.ie,"https://maps.google.com/?q=52.24635,-6.3877535",17769M,TAGOAT NS,PRIMARY,ORDINARY,FIONA WHELAN,CATHOLIC,MIXED,ENGLISH,YES,NA,81,39,42,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"LISHEENKYLE ORANMORE CO. GALWAY , GALWAY , GALWAY , H91YR20",http://www.lisheenkylens.ie,"https://maps.google.com/?q=53.29206,-8.844597",17771W,LISHEENKYLE NS,PRIMARY,ORDINARY,JENNIFER MCDONNELL,CATHOLIC,MIXED,ENGLISH,NO,NA,235,132,103,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"GLENVILLE CO. CORK , CORK , CORK , T56PP79",http://glenvillens.wordpress.com,"https://maps.google.com/?q=52.045822,-8.424211",17848I,GLENVILLE NATIONAL SCHOOL,PRIMARY,ORDINARY,OISÍN DUNNE,CATHOLIC,MIXED,ENGLISH,NO,NA,156,85,71,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"BARNTOWN CO. WEXFORD , WEXFORD , WEXFORD , Y35X620",http://www.barntownns.ie,"https://maps.google.com/?q=52.337635,-6.542766",17913Q,BARNTOWN NATIONAL SCHOOL,PRIMARY,ORDINARY,NICOLA ROCHE,CATHOLIC,MIXED,ENGLISH,NO,NA,312,181,131,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"ABBEY ROAD NAVAN CO. MEATH , MEATH , MEATH , C15DA09",http://scoilmhuirenavan.ie,"https://maps.google.com/?q=53.65415,-6.6911097",17969U,SCOIL MHUIRE NAVAN,PRIMARY,ORDINARY,FIONA HAYDEN,CATHOLIC,MIXED,ENGLISH,YES,NA,170,84,86,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"MUCHGRANGE GREENORE CO. LOUTH , LOUTH , LOUTH , A91DK09",http://www.boherns.ie,"https://maps.google.com/?q=54.0122,-6.1386924",18034Q,SCOIL NAOMH MHUIRE BOHER,PRIMARY,ORDINARY,JOSEPH MCCRINK,CATHOLIC,MIXED,ENGLISH,NO,NA,111,65,46,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"HERONSTOWN LOBINSTOWN CO. MEATH , MEATH , MEATH , C15CF59",,"https://maps.google.com/?q=53.78202,-6.622866",18037W,HERONSTOWN NATIONAL SCOIL,PRIMARY,ORDINARY,AISLING SEOIGHE,CATHOLIC,MIXED,ENGLISH,NO,NA,93,51,42,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-04-23,"BALLYMORE EUSTACE NAAS CO. KILDARE , KILDARE , KILDARE , W91PF86",http://www.bmesch.ie,"https://maps.google.com/?q=53.13472,-6.616906",18055B,BALLYMORE EUSTACE NATIONAL SCHOOL,PRIMARY,ORDINARY,PETER ROCHE,CATHOLIC,MIXED,ENGLISH,NO,NA,201,103,98,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"CLONEYGOWAN TULLAMORE CO. OFFALY , OFFALY , OFFALY , R35NP58",http://www.cloneygowanns.weebly.com,"https://maps.google.com/?q=53.186775,-7.2821255",18115Q,CLONEYGOWAN NATIONAL SCHOOL,PRIMARY,ORDINARY,BRIAN T RYAN,CATHOLIC,MIXED,ENGLISH,NO,NA,142,70,72,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"CARNA CO. NA GAILLIMHE , GALWAY , GALWAY , H91D2H5",,"https://maps.google.com/?q=53.323074,-9.816293",18121L,SCOIL CARNA,PRIMARY,ORDINARY,CAROLINE NI CHOMGHAILE,CATHOLIC,MIXED,ALL IRISH,YES,NA,61,37,24,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"CONVENT ROAD MILFORD CO. DONEGAL , DONEGAL , DONEGAL , F92D744",,"https://maps.google.com/?q=55.090183,-7.703848",18151U,SCOIL MHUIRE MILFORD,PRIMARY,ORDINARY,SHARON PEOPLES,CATHOLIC,MIXED,ENGLISH,YES,NA,205,103,102,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"MOYNALVEY SUMMERHILL CO. MEATH , MEATH , MEATH , A83KD81",,"https://maps.google.com/?q=53.474804,-6.681743",18344I,MOYNALVEY NATIONAL SCHOOL,PRIMARY,ORDINARY,MÍCHEÁL BRENNAN,CATHOLIC,MIXED,ENGLISH,NO,NA,142,74,68,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"CUL RONAIN BAILE IOMHAIR CO MEATH , MEATH , MEATH , C15HP57",,"https://maps.google.com/?q=53.559925,-6.9830084",18429Q,CUL RONAIN N S,PRIMARY,ORDINARY,JANETTE MAGUIRE,CATHOLIC,MIXED,ENGLISH,YES,NA,16,8,8,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"CLOONDARA CO. LONGFORD , LONGFORD , LONGFORD , N39KD36",http://clondrans.wordpress.com,"https://maps.google.com/?q=53.730255,-7.905448",18733T,CLONDRA NATIONAL SCHOOL,PRIMARY,ORDINARY,FIONA REILLY,CATHOLIC,MIXED,ENGLISH,NO,NA,96,59,37,NA,NO,NA,
S N MHUIRE,2021-07-07,2024-01-22,"COOLANARNEY BLUEBALL CO. OFFALY , OFFALY , OFFALY , R35K201",,"https://maps.google.com/?q=53.234478,-7.642347",18795S,COOLANARNEY NATIONAL SCHOOL,PRIMARY,ORDINARY,LORRAINE MAHON,CATHOLIC,MIXED,ENGLISH,NO,NA,64,31,33,NA,NO,NA,
