store,area,address,lat,lng
tesco,Roscrea,Roscrea Superstore Castle Street,52.9564213,-7.7960502
tesco,Sligo,Sligo Superstore Sligo Shopping Centre,54.27661029999999,-8.4760888
tesco,Swinford,Swinford Superstore Mart Site,53.939281,-8.953745000000001
tesco,Tallaght,Tallaght Village,53.2865928,-6.3717012
tesco,Thurles,Thurles Superstore Liberty Square,52.67908,-7.8114246
tesco,Tipperary,Tipperary Superstore Limerick Road,52.4769731,-8.1730332
tesco,Tralee,Tralee Square Express Main Street,52.2682678,-9.707454
tesco,Tralee,Tralee Manor Superstore Manor West,52.2626497,-9.678365699999999
tesco,Tuam,Tuam,53.5155588,-8.8551845
tesco,Tullamore,Tullamore Square Extra Portarlington Road,53.2663594,-7.466515599999999
tesco,Tullow,Tullow Superstore Abbey Street,52.800538,-6.7372523
tesco,Waterford,Tramore Superstore Ballycarnane,52.1626264,-7.1641963
tesco,Waterford,Poleberry Superstore Bath Street,52.2540311,-7.1137567
tesco,Waterford,Lisduggan Superstore Lisduggan Shopping Centre,52.2501533,-7.1374265
tesco,Waterford City,Ardkeen Superstore Farronshoneen Outer Ring Road,52.2428846,-7.088493
tesco,Westport,Westport Superstore Altaman Street,53.7968707,-9.5100058
tesco,Wexford,Wexford Extra Distillery Road,52.33277649999999,-6.4613209
tesco,Wicklow,Bray Express The Boulevard,53.2006993,-6.110931900000001
tesco,Wicklow,Wicklow Superstore Wicklow Shopping Centre,52.9831838,-6.051563
tesco,Wilton,Wilton Superstore Wilton Square Shopping Centre,51.8809011,-8.5074382
tesco,Youghal,Youghal Superstore Mill Road,51.9592223,-7.853309800000001
